login,user_url,html_url,repos_url,followers,total_stars,total_forks,total_watchers,languages
mikkelkaas,https://api.github.com/users/mikkelkaas,https://github.com/mikkelkaas,https://api.github.com/users/mikkelkaas/repos,3,0,0,0,{'C#'}
ivialovell,https://api.github.com/users/ivialovell,https://github.com/ivialovell,https://api.github.com/users/ivialovell/repos,3,0,0,0,set()
ka-de,https://api.github.com/users/ka-de,https://github.com/ka-de,https://api.github.com/users/ka-de/repos,12,3,0,3,"{'JavaScript', 'HTML', 'Rust'}"
Notxor,https://api.github.com/users/Notxor,https://github.com/Notxor,https://api.github.com/users/Notxor/repos,5,4,0,4,"{'D', 'Python'}"
manuchis,https://api.github.com/users/manuchis,https://github.com/manuchis,https://api.github.com/users/manuchis/repos,14,12,2,12,"{'PHP', 'Ruby', 'Jupyter Notebook', 'JavaScript', 'Python'}"
gerchen,https://api.github.com/users/gerchen,https://github.com/gerchen,https://api.github.com/users/gerchen/repos,7,0,0,0,{'Python'}
oldski,https://api.github.com/users/oldski,https://github.com/oldski,https://api.github.com/users/oldski/repos,3,0,0,0,{'JavaScript'}
ericellenberg,https://api.github.com/users/ericellenberg,https://github.com/ericellenberg,https://api.github.com/users/ericellenberg/repos,7,0,0,0,{'HCL'}
aigaios,https://api.github.com/users/aigaios,https://github.com/aigaios,https://api.github.com/users/aigaios/repos,4,2,1,2,{'JavaScript'}
mantovani,https://api.github.com/users/mantovani,https://github.com/mantovani,https://api.github.com/users/mantovani/repos,79,16,4,16,"{'C', 'JavaScript', 'Arduino', 'Scala', 'Perl', 'Java'}"
lzpfmh,https://api.github.com/users/lzpfmh,https://github.com/lzpfmh,https://api.github.com/users/lzpfmh/repos,22,0,0,0,"{'PHP', 'C', 'JavaScript', 'Go', 'Python', 'CoffeeScript', 'Scala', 'Elixir', 'Java'}"
JesperKrogh,https://api.github.com/users/JesperKrogh,https://github.com/JesperKrogh,https://api.github.com/users/JesperKrogh/repos,3,0,1,0,"{'Ruby', 'Python', 'HCL'}"
mscovotti,https://api.github.com/users/mscovotti,https://github.com/mscovotti,https://api.github.com/users/mscovotti/repos,5,0,0,0,"{'JavaScript', 'TypeScript', 'CSS'}"
terstepki,https://api.github.com/users/terstepki,https://github.com/terstepki,https://api.github.com/users/terstepki/repos,3,2,0,2,set()
mmodahl,https://api.github.com/users/mmodahl,https://github.com/mmodahl,https://api.github.com/users/mmodahl/repos,3,6,0,6,"{'C', 'Shell'}"
npupik,https://api.github.com/users/npupik,https://github.com/npupik,https://api.github.com/users/npupik/repos,4,2,0,2,set()
sharadgana,https://api.github.com/users/sharadgana,https://github.com/sharadgana,https://api.github.com/users/sharadgana/repos,6,10,2,10,"{'Ruby', 'Objective-C', 'JavaScript', 'VimL', 'Go', 'Shell', 'HTML', 'TeX', 'Python'}"
skynee,https://api.github.com/users/skynee,https://github.com/skynee,https://api.github.com/users/skynee/repos,4,0,0,0,"{'PHP', 'JavaScript', 'Vue'}"
jnpkmmd,https://api.github.com/users/jnpkmmd,https://github.com/jnpkmmd,https://api.github.com/users/jnpkmmd/repos,3,0,0,0,set()
mschoolmaster,https://api.github.com/users/mschoolmaster,https://github.com/mschoolmaster,https://api.github.com/users/mschoolmaster/repos,5,0,0,0,set()
wschott,https://api.github.com/users/wschott,https://github.com/wschott,https://api.github.com/users/wschott/repos,8,17,2,17,"{'Python', 'Vim Script'}"
fryertom,https://api.github.com/users/fryertom,https://github.com/fryertom,https://api.github.com/users/fryertom/repos,4,0,0,0,set()
bigcurl,https://api.github.com/users/bigcurl,https://github.com/bigcurl,https://api.github.com/users/bigcurl/repos,6,2,0,2,"{'Ruby', 'Python', 'JavaScript', 'C'}"
varunkumarrao-zz,https://api.github.com/users/varunkumarrao-zz,https://github.com/varunkumarrao-zz,https://api.github.com/users/varunkumarrao-zz/repos,3,1,1,1,{'JavaScript'}
dhf2,https://api.github.com/users/dhf2,https://github.com/dhf2,https://api.github.com/users/dhf2/repos,4,0,0,0,set()
jpaulson,https://api.github.com/users/jpaulson,https://github.com/jpaulson,https://api.github.com/users/jpaulson/repos,3,0,0,0,set()
anupam,https://api.github.com/users/anupam,https://github.com/anupam,https://api.github.com/users/anupam/repos,4,0,0,0,"{'Python', 'C', 'Go'}"
jonathangordon,https://api.github.com/users/jonathangordon,https://github.com/jonathangordon,https://api.github.com/users/jonathangordon/repos,5,3,1,3,"{'PHP', 'CoffeeScript', 'JavaScript'}"
bosmievoll,https://api.github.com/users/bosmievoll,https://github.com/bosmievoll,https://api.github.com/users/bosmievoll/repos,15,3,0,3,"{'JavaScript', 'Java'}"
xslim,https://api.github.com/users/xslim,https://github.com/xslim,https://api.github.com/users/xslim/repos,71,48,19,48,"{'Ruby', 'C', 'Dockerfile', 'Objective-C', 'JavaScript', 'CoffeeScript', 'Vim Script', 'CSS', 'Java', 'Swift'}"
stormy,https://api.github.com/users/stormy,https://github.com/stormy,https://api.github.com/users/stormy/repos,30,23,8,23,"{'Ruby', 'JavaScript', 'HTML', 'Python', 'CSS'}"
welldesign,https://api.github.com/users/welldesign,https://github.com/welldesign,https://api.github.com/users/welldesign/repos,3,0,0,0,set()
J2,https://api.github.com/users/J2,https://github.com/J2,https://api.github.com/users/J2/repos,5,3,1,3,{'Java'}
drummer-zz,https://api.github.com/users/drummer-zz,https://github.com/drummer-zz,https://api.github.com/users/drummer-zz/repos,2,0,0,0,set()
interma,https://api.github.com/users/interma,https://github.com/interma,https://api.github.com/users/interma/repos,66,17,7,17,"{'C++', 'C', 'Go', 'Python', 'CSS', 'Java'}"
kiddynomite71,https://api.github.com/users/kiddynomite71,https://github.com/kiddynomite71,https://api.github.com/users/kiddynomite71/repos,5,3,0,3,"{'JavaScript', 'Objective-C'}"
rosset,https://api.github.com/users/rosset,https://github.com/rosset,https://api.github.com/users/rosset/repos,15,2,2,2,"{'Python', 'C++', 'Roff', 'Shell'}"
pfortune,https://api.github.com/users/pfortune,https://github.com/pfortune,https://api.github.com/users/pfortune/repos,22,7,1,7,"{'Svelte', 'PHP', 'TypeScript', 'JavaScript', 'Python', 'HCL'}"
jimmyjam,https://api.github.com/users/jimmyjam,https://github.com/jimmyjam,https://api.github.com/users/jimmyjam/repos,2,0,0,0,set()
saksoy,https://api.github.com/users/saksoy,https://github.com/saksoy,https://api.github.com/users/saksoy/repos,25,1,0,1,"{'Jupyter Notebook', 'CSS', 'JavaScript', 'Go', 'Elixir', 'Java'}"
caveman99,https://api.github.com/users/caveman99,https://github.com/caveman99,https://api.github.com/users/caveman99/repos,46,24,8,24,"{'PHP', 'C++', 'Ruby', 'C', 'Python', 'CMake', 'Java'}"
quen,https://api.github.com/users/quen,https://github.com/quen,https://api.github.com/users/quen/repos,8,95,37,95,"{'C++', 'C', 'Java'}"
merlimat,https://api.github.com/users/merlimat,https://github.com/merlimat,https://api.github.com/users/merlimat/repos,223,33,10,33,"{'Ruby', 'C++', 'C', 'VimL', 'Go', 'Erlang', 'Java'}"
